Genero,Edad,Altura
H,21,1.73
M,19,1.62
H,21,1.73
H,19,1.69
H,20,1.75
H,21,1.8
H,22,1.7
H,21,1.75
H,19,1.66
M,21,1.64
M,19,1.62
H,21,1.85
H,20,1.75
H,20,1.66
H,19,1.7
H,19,1.64
